species,category,kingdom,phylum,class,order,family,genus,main_common_name,population_trend,marine_system,freshwater_system,terrestrial_system,state,acceptedName,ssp_subpop
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,georgia,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,north carolina,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,tennessee,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,virginia,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,west virginia,Abies fraseri,
Abutilon eremitopetalum,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,Hiddenpetal Indian Mallow,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon eremitopetalum,
Abutilon menziesii,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,NA,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon menziesii,
Abutilon sandwicense,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,Greenflower Indian Mallow,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon sandwicense,
Acacia koaia,VU,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Acacia,NA,Decreasing,FALSE,FALSE,TRUE,hawaii,Acacia koaia,
Acanthomyops latipes,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,idaho,Acanthomyops latipes,
Acanthomyops latipes,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,indiana,Acanthomyops latipes,
Acanthomyops latipes,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,vermont,Acanthomyops latipes,
Acanthomyops latipes,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,wyoming,Acanthomyops latipes,
Acanthomyops murphii,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,new york,Acanthomyops murphyi,
Acanthomyops murphii,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,michigan,Acanthomyops murphyi,
Acanthomyops murphii,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,north carolina,Acanthomyops murphyi,
Acanthomyops murphii,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,colorado,Acanthomyops murphyi,
Acanthomyops murphii,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,arizona,Acanthomyops murphyi,
Acanthothecis leucoxanthoides,CR,FUNGI,ASCOMYCOTA,LECANOROMYCETES,OSTROPALES,GRAPHIDACEAE,Acanthothecis,NA,Stable,FALSE,FALSE,TRUE,georgia,Acanthothecis leucoxanthoides,
Acanthothecis leucoxanthoides,CR,FUNGI,ASCOMYCOTA,LECANOROMYCETES,OSTROPALES,GRAPHIDACEAE,Acanthothecis,NA,Stable,FALSE,FALSE,TRUE,north carolina,Acanthothecis leucoxanthoides,
Acanthothecis paucispora,CR,FUNGI,ASCOMYCOTA,LECANOROMYCETES,OSTROPALES,GRAPHIDACEAE,Acanthothecis,NA,Stable,FALSE,FALSE,TRUE,north carolina,Acanthothecis paucispora,
Achatinella apexfulva,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Oahu Treesnail,NA,FALSE,FALSE,TRUE,hawaii,Achatinella apexfulva,
Achatinella bellula,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella bellula,
Achatinella bulimoides,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella bulimoides,
Achatinella byronii,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella byronii,
Achatinella cestus,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella cestus,
Achatinella concavospira,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella concavospira,
Achatinella curta,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella curta,
Achatinella decipiens,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella decipiens,
Achatinella fulgens,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella fulgens,
Achatinella fuscobasis,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella fuscobasis,
Achatinella leucorrhaphe,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella leucorraphe,
Achatinella lila,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella lila,
Achatinella lorata,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella lorata,
Achatinella mustelina,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella mustelina,
Achatinella phaeozona,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella phaeozona,
Achatinella pulcherrima,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella pulcherrima,
Achatinella pupukanioe,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella pupukanioe,
Achatinella sowerbyana,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella sowerbyana,
Achatinella stewartii,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella stewartii,
Achatinella swiftii,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella swiftii,
Achatinella taeniolata,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella taeniolata,
Achatinella turgida,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella turgida,
Achatinella viridans,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella viridans,
Achatinella vulpina,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,NA,NA,FALSE,FALSE,TRUE,hawaii,Achatinella vulpina,
Achyranthes mutica,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,Achyranthes,Blunt Chaff Flower,Stable,FALSE,FALSE,TRUE,hawaii,Achyranthes mutica,
Achyranthes splendens,VU,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,Achyranthes,Round-leaved Chaff Flower,Decreasing,FALSE,FALSE,TRUE,hawaii,Achyranthes splendens,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,connecticut,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,delaware,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,florida,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,georgia,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,maine,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,maryland,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,massachusetts,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,new hampshire,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,new jersey,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,new york,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,north carolina,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,pennsylvania,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,rhode island,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,south carolina,Acipenser brevirostrum,
Acipenser brevirostrum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Shortnose Sturgeon,Decreasing,TRUE,TRUE,FALSE,virginia,Acipenser brevirostrum,
Acipenser oxyrinchus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Gulf Sturgeon,Increasing,TRUE,TRUE,FALSE,alabama,Acipenser oxyrinchus,ssp. desotoi
Acipenser oxyrinchus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Gulf Sturgeon,Increasing,TRUE,TRUE,FALSE,florida,Acipenser oxyrinchus,ssp. desotoi
Acipenser oxyrinchus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Gulf Sturgeon,Increasing,TRUE,TRUE,FALSE,georgia,Acipenser oxyrinchus,ssp. desotoi
Acipenser oxyrinchus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Gulf Sturgeon,Increasing,TRUE,TRUE,FALSE,louisiana,Acipenser oxyrinchus,ssp. desotoi
Acipenser oxyrinchus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Gulf Sturgeon,Increasing,TRUE,TRUE,FALSE,mississippi,Acipenser oxyrinchus,ssp. desotoi
Acipenser transmontanus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,White Sturgeon,Stable,TRUE,TRUE,FALSE,idaho,Acipenser transmontanus,Kootenai River subpopulation
Acipenser transmontanus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,White Sturgeon,Stable,TRUE,TRUE,FALSE,montana,Acipenser transmontanus,Kootenai River subpopulation
Acrocephalus familiaris,CR,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,Millerbird,Stable,FALSE,FALSE,TRUE,hawaii,Acrocephalus familiaris,
Acrolophitus pulchellus,VU,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Acrolophitus,Idaho Point-headed Grasshopper,NA,FALSE,FALSE,TRUE,idaho,Acrolophitus pulchellus,
Acropora cervicornis,CR,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Staghorn Coral,Stable,TRUE,FALSE,FALSE,florida,Acropora cervicornis,
Acropora palmata,CR,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Elkhorn Coral,Stable,TRUE,FALSE,FALSE,florida,Acropora palmata,
Actinemys marmorata,VU,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Actinemys,Western Pond Turtle,NA,FALSE,TRUE,TRUE,california,Actinemys marmorata,
Actinemys marmorata,VU,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Actinemys,Western Pond Turtle,NA,FALSE,TRUE,TRUE,nevada,Actinemys marmorata,
Actinemys marmorata,VU,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Actinemys,Western Pond Turtle,NA,FALSE,TRUE,TRUE,oregon,Actinemys marmorata,
Actinemys marmorata,VU,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Actinemys,Western Pond Turtle,NA,FALSE,TRUE,TRUE,washington,Actinemys marmorata,
Actinopyga mauritiana,VU,ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Actinopyga,Surf Redfish,Decreasing,TRUE,FALSE,FALSE,hawaii,Actinopyga mauritiana,
Adelocosa anops,EN,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,LYCOSIDAE,Adelocosa,No-eyed Big-eyed Wolf Spider,NA,FALSE,FALSE,TRUE,hawaii,Adelocosa anops,
Adenophorus epigaeus,EN,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,Adenophorus,NA,Decreasing,FALSE,FALSE,TRUE,hawaii,Adenophorus epigaeus,
Adenophorus periens,CR,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,Adenophorus,NA,Unknown,FALSE,FALSE,TRUE,hawaii,Adenophorus periens,
Aegialia concinna,VU,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Aegialia,Ciervo Scarab Beetle,NA,FALSE,FALSE,TRUE,california,Aegialia concinna,
Aegialia crescenta,VU,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Aegialia,Cresent Dune Scarab Beetle,NA,FALSE,FALSE,TRUE,nevada,Aegialia crescenta,
Aerodramus bartschi,EN,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aerodramus,Mariana Swiftlet,Decreasing,FALSE,FALSE,TRUE,hawaii,Aerodramus bartschi,
Aetobatus ocellatus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Spotted Eagle Ray,Decreasing,TRUE,FALSE,FALSE,hawaii,Aetobatus ocellatus,
Agaricia lamarcki,VU,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Agaricia,Lamarck's Sheet Coral,Decreasing,TRUE,FALSE,FALSE,florida,Agaricia lamarcki,
Agaricus pattersoniae,VU,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,AGARICACEAE,Agaricus,NA,Stable,FALSE,FALSE,TRUE,california,Agaricus pattersoniae,
Agelaius tricolor,EN,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,Tricolored Blackbird,Decreasing,FALSE,TRUE,TRUE,california,Agelaius tricolor,
Agelaius tricolor,EN,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,Tricolored Blackbird,Decreasing,FALSE,TRUE,TRUE,nevada,Agelaius tricolor,
Agelaius tricolor,EN,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,Tricolored Blackbird,Decreasing,FALSE,TRUE,TRUE,oregon,Agelaius tricolor,
Aglaodiaptomus kingsburyae,VU,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Aglaodiaptomus,NA,NA,FALSE,TRUE,FALSE,oklahoma,Aglaodiaptomus kingsburyae,
Aglaodiaptomus kingsburyae,VU,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Aglaodiaptomus,NA,NA,FALSE,TRUE,FALSE,texas,Aglaodiaptomus kingsburyae,
Aglaodiaptomus marshianus,VU,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Aglaodiaptomus,NA,NA,FALSE,TRUE,FALSE,florida,Aglaodiaptomus marshianus,
Aglaothorax longipennis,CR,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Aglaothorax,Santa Monica Shieldback Katydid,NA,FALSE,FALSE,TRUE,california,Aglaothorax longipennis,
Alasmidonta arcula,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Altamaha Arc-Mussel,Decreasing,FALSE,TRUE,FALSE,georgia,Alasmidonta arcula,
Alasmidonta arcula,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Altamaha Arc-Mussel,Decreasing,FALSE,TRUE,FALSE,south carolina,Alasmidonta arcula,
Alasmidonta atropurpurea,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Cumberland Elktoe,Decreasing,FALSE,TRUE,FALSE,kentucky,Alasmidonta atropurpurea,
Alasmidonta atropurpurea,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Cumberland Elktoe,Decreasing,FALSE,TRUE,FALSE,tennessee,Alasmidonta atropurpurea,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,connecticut,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,delaware,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,maryland,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,massachusetts,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,new hampshire,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,new jersey,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,new york,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,north carolina,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,pennsylvania,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,vermont,Alasmidonta heterodon,
Alasmidonta heterodon,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Dwarf Wedgemussel,Decreasing,FALSE,TRUE,FALSE,virginia,Alasmidonta heterodon,
Alasmidonta raveneliana,CR,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Appalachian Elktoe,Decreasing,FALSE,TRUE,FALSE,north carolina,Alasmidonta raveneliana,
Alasmidonta raveneliana,CR,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Appalachian Elktoe,Decreasing,FALSE,TRUE,FALSE,tennessee,Alasmidonta raveneliana,
Alasmidonta triangulata,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Southern Elktoe,Decreasing,FALSE,TRUE,FALSE,alabama,Alasmidonta triangulata,
Alasmidonta triangulata,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Southern Elktoe,Decreasing,FALSE,TRUE,FALSE,florida,Alasmidonta triangulata,
Alasmidonta triangulata,EN,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Southern Elktoe,Decreasing,FALSE,TRUE,FALSE,georgia,Alasmidonta triangulata,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,connecticut,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,delaware,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,georgia,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,maine,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,maryland,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,massachusetts,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,new hampshire,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,new jersey,Alasmidonta varicosa,
Alasmidonta varicosa,VU,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Alasmidonta,Brook Floater,Decreasing,FALSE,TRUE,FALSE,new york,Alasmidonta varicosa,
