state,species,taxon_general,taxon_specific,Ranking,Notes,acceptedName
arizona,Cynomys ludovicianus,Mammals,NA,E,NA,Cynomys ludovicianus
arizona,Leopardus pardalis,Mammals,NA,E,NA,Leopardus pardalis
arizona,Leptonycteris yerbabuenae,Mammals,NA,E,NA,Leptonycteris yerbabuenae
arizona,Microtus mexicanus,Mammals,NA,E,NA,Microtus mexicanus
arizona,Mustela nigripes,Mammals,NA,E,NA,Mustela nigripes
arizona,Panthera onca,Mammals,NA,E,NA,Panthera onca
arizona,Tamiasciurus hudsonicus,Mammals,NA,E,NA,Tamiasciurus hudsonicus
arizona,Zapus hudsonius,Mammals,NA,E,NA,Zapus hudsonius
arizona,Chionactis occipitalis,Reptiles,Snakes,E,NA,Chionactis occipitalis
arizona,Crotalus lepidus,Reptiles,Snakes,E,NA,Crotalus lepidus
arizona,Crotalus pricei,Reptiles,Snakes,E,NA,Crotalus pricei
arizona,Crotalus willardi,Reptiles,Snakes,E,NA,Crotalus willardi
arizona,Gopherus agassizii,Reptiles,Turtles,E,NA,Gopherus morafkai
arizona,Heloderma suspectum,Reptiles,Lizards,E,NA,Heloderma suspectum
arizona,Kinosternon sonoriense,Reptiles,Turtles,E,NA,Kinosternon sonoriense
arizona,Lampropeltis gentilis,Reptiles,Snakes,E,NA,Lampropeltis gentilis
arizona,Phrynosoma mcallii,Reptiles,Lizards,E,NA,Phrynosoma mcallii
arizona,Sistrurus tergeminus,Reptiles,Snakes,E,NA,Sistrurus catenatus
arizona,Terrapene ornata,Reptiles,Turtles,E,NA,Terrapene ornata
arizona,Thamnophis eques,Reptiles,Snakes,E,NA,Thamnophis eques
arizona,Thamnophis rufipunctatus,Reptiles,Snakes,E,NA,Thamnophis rufipunctatus
arkansas,Cryptobranchus alleganiensis,Amphibians,Salamanders,E,NA,Cryptobranchus alleganiensis
arkansas,Grus americana,Birds,NA,E,NA,Grus americana
arkansas,Anthus spragueii,Birds,NA,E,NA,Anthus spragueii
arkansas,Charadrius melodus,Birds,NA,E,NA,Charadrius melodus
arkansas,Sterna antillarum,Birds,NA,E,NA,Sternula antillarum
arkansas,Campephilus principalis,Birds,NA,E,NA,Campephilus principalis
arkansas,Picoides borealis,Birds,NA,E,NA,Picoides borealis
arkansas,Amblyopsis rosae,Fish,NA,E,NA,Amblyopsis rosae
arkansas,Etheostoma cragini,Fish,NA,E,NA,Etheostoma cragini
arkansas,Percina pantherina,Fish,NA,E,NA,Percina pantherina
arkansas,Etheostoma moorei,Fish,NA,E,NA,Etheostoma moorei
arkansas,Notropis girardi,Fish,NA,E,NA,Notropis girardi
arkansas,Scaphirhynchus albus,Fish,NA,E,NA,Scaphirhynchus albus
arkansas,Cambarus aculabrum,Invertebrates,Crustaceans,E,NA,Cambarus aculabrum
arkansas,Cambarus zophonastes,Invertebrates,Crustaceans,E,NA,Cambarus zophonastes
arkansas,Nicrophorus americanus,Invertebrates,Insects,E,NA,Nicrophorus americanus
arkansas,Lampsilis powellii,Invertebrates,Mollusks,E,NA,Lampsilis powellii
arkansas,Quadrula fragosa,Invertebrates,Mollusks,E,NA,Quadrula fragosa
arkansas,Lampsilis abrupta,Invertebrates,Mollusks,E,NA,Lampsilis abrupta
arkansas,Lampsilis rafinesquena,Invertebrates,Mollusks,E,NA,Lampsilis rafinesqueana
arkansas,Leptodea leptodon,Invertebrates,Mollusks,E,NA,Leptodea leptodon
arkansas,Cyprogenia stegaria,Invertebrates,Mollusks,E,NA,Cyprogenia stegaria
arkansas,Obovaria retusa,Invertebrates,Mollusks,E,NA,Obovaria retusa
arkansas,Quadrula cylindrica,Invertebrates,Mollusks,E,NA,Theliderma cylindrica
arkansas,Cumberlandia monondonta,Invertebrates,Mollusks,E,NA,Cumberlandia monodonta
arkansas,Epioblasma triquetra,Invertebrates,Mollusks,E,NA,Epioblasma triquetra
arkansas,Margaritifera hembeli,Invertebrates,Mollusks,E,NA,Margaritifera hembeli
arkansas,Epioblasma florentina,Invertebrates,Mollusks,E,NA,Epioblasma florentina
arkansas,Potamilus capax,Invertebrates,Mollusks,E,NA,Potamilus capax
arkansas,Arkansia wheeleri,Invertebrates,Mollusks,E,NA,Arcidens wheeleri
arkansas,Lampsilis streckeri,Invertebrates,Mollusks,E,NA,Lampsilis streckeri
arkansas,Mesodon magazinensis,Invertebrates,Mollusks,E,NA,Inflectarius magazinensis
arkansas,Epioblasma turgidula,Invertebrates,Mollusks,E,NA,Epioblasma turgidula
arkansas,Alligator mississppiensis,Invertebrates,Mollusks,E,NA,Alligator missisipensis
arkansas,Myotis grisescens,Mammals,NA,E,NA,Myotis grisescens
arkansas,Myotis sodalis,Mammals,NA,E,NA,Myotis sodalis
arkansas,Myotis septentrionalis,Mammals,NA,E,NA,Myotis septentrionalis
arkansas,Corynorhinus townsendii,Mammals,NA,E,NA,Corynorhinus townsendii
california,Ambystoma macrodactylum,Amphibians,Salamanders,E,NA,Ambystoma macrodactylum
