state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema furvum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Fusconaia cuneolus,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema marshalli,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema strodeanum,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema hanleyianum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema taitianum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Fusconaia escambia,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema pyriforme,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema plenum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Fusconaia cor,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema georgianum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Fusconaia burkei,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Plethobasus cooperianus,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Charadrius melodus,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Lampsilis altilis,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Lampsilis subangulata,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Epioblasma obliquata obliquata,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Quadrula cylindrica cylindrica,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Epioblasma florentina walkeri,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Obovaria retusa,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Athearnia anthonyi,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Leptoxis foremani,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Leptoxis taeniata,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Leptoxis plicata,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Leptoxis ampla,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Phaeognathus hubrichti,Amphibians,Salamanders,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Hamiota australis,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Cottus paulus,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Eretmochelys imbricata,Reptiles,Turtles,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Lepidochelys kempii,Reptiles,Turtles,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Dermochelys coriacea,Reptiles,Turtles,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Caretta caretta,Reptiles,Turtles,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Cyprinella caerulea,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
