state,species,taxon_general,taxon_specific,Ranking,Notes,,
Arizona,Phrynosoma mcallii,Reptiles,Lizards,E,,,
Arizona,Sistrurus tergeminus,Reptiles,Snakes,E,,,
Arizona,Sistrurus tergeminus edwardsii,Reptiles,Snakes,E,,,
Arizona,Terrapene ornata,Reptiles,Turtles,E,,,
Arizona,Terrapene ornata luteola,Reptiles,Turtles,E,,,
Arizona,Thamnophis eques megalops,Reptiles,Snakes,E,,,
Arizona,Thamnophis rufipunctatus,Reptiles,Snakes,E,,,
Arkansas,Cryptobranchus alleganiensis bishopi,Amphibians,Salamanders,E,,,
Arkansas,Grus americana,Birds,,E,,,
Arkansas,Anthus spragueii,Birds,,E,,,
Arkansas,Charadrius melodus,Birds,,E,,,
Arkansas,Sterna antillarum,Birds,,E,,,
Arkansas,Campephilus principalis,Birds,,E,,,
Arkansas,Picoides borealis,Birds,,E,,,
Arkansas,Amblyopsis rosae,Fish,,E,,,
Arkansas,Etheostoma cragini,Fish,,E,,,
Arkansas,Percina pantherina,Fish,,E,,,
Arkansas,Etheostoma moorei,Fish,,E,,,
Arkansas,Notropis girardi,Fish,,E,,,
Arkansas,Scaphirhynchus albus,Fish,,E,,,
Arkansas,Cambarus aculabrum,Invertebrates,Crustaceans,E,,,
Arkansas,Cambarus zophonastes,Invertebrates,Crustaceans,E,,,
Arkansas,Nicrophorus americanus,Invertebrates,Insects,E,,,
Arkansas,Lampsilis powellii,Invertebrates,Mollusks,E,,,
Arkansas,Quadrula fragosa,Invertebrates,Mollusks,E,,,
Arkansas,Lampsilis abrupta,Invertebrates,Mollusks,E,,,
Arkansas,Lampsilis rafinesquena,Invertebrates,Mollusks,E,,,
Arkansas,Leptodea leptodon,Invertebrates,Mollusks,E,,,
Arkansas,Cyprogenia stegaria,Invertebrates,Mollusks,E,,,
Arkansas,Obovaria retusa,Invertebrates,Mollusks,E,,,
Arkansas,Quadrula cylindrica,Invertebrates,Mollusks,E,,,
Arkansas,Cumberlandia monondonta,Invertebrates,Mollusks,E,,,
Arkansas,Epioblasma triquetra,Invertebrates,Mollusks,E,,,
Arkansas,Margaritifera hembeli,Invertebrates,Mollusks,E,,,
Arkansas,Epioblasma florentina curtisii,Invertebrates,Mollusks,E,,,
Arkansas,Potamilus capax,Invertebrates,Mollusks,E,,,
Arkansas,Arkansia wheeleri,Invertebrates,Mollusks,E,,,
Arkansas,Lampsilis streckeri,Invertebrates,Mollusks,E,,,
Arkansas,Mesodon magazinensis,Invertebrates,Mollusks,E,,,
Arkansas,Epioblasma turgidula,Invertebrates,Mollusks,E,,,
Arkansas,Alligator mississppiensis,Invertebrates,Mollusks,E,,,
Arkansas,Myotis grisescens,Mammals,,E,,,
