"","state","species","source"
"134","Tennessee","Orconectes shoupi","IUCN"
"135","Tennessee","Orconectes taylori","IUCN"
"136","Utah","Oxyloma kanabense","Natserv"
"137","Arizona","Oxyloma kanabense","Natserv"
"138","Kansas","Ozobryum ogalalense","IUCN"
"139","California","Parapinnixa affinis","IUCN"
"140","Wyoming","Physella spelunca","Natserv"
"141","California","Pica nutalli","IUCN"
"142","Georgia","Pleurobema chattanoogaense","ECOS"
"143","North Carolina","Pleurobema collina","Natserv"
"144","Virginia","Pleurobema collina","Natserv"
"145","West Virginia","Pleurobema collina","Natserv"
"146","Alabama","Pleurobema furvum","Natserv"
"147","Tennessee","Pleurobema gibberum","ECOS"
"148","New York","Pleuronectes ferrugineus","Natserv"
"149","Rhode Island","Pleuronectes ferrugineus","Natserv"
"150","Hawaii","Pritchardia remota",NA
"151",NA,"Pterodroma cahow","IUCN"
"152",NA,"Pterodroma cervicalis","IUCN"
"153",NA,"Pterodroma longirostris","IUCN"
"154",NA,"Pterodroma solandri","IUCN"
"155","Hawaii","Puffinus bryani","IUCN"
"156","Alabama","Quadrula cylindrica","Natserv"
"157","Arkansas","Quadrula cylindrica","Natserv"
"158","Illinois","Quadrula cylindrica","Natserv"
"159","Indiana","Quadrula cylindrica","Natserv"
"160","Kansas","Quadrula cylindrica","Natserv"
"161","Louisiana","Quadrula cylindrica","Natserv"
"162","Missouri","Quadrula cylindrica","Natserv"
"163","Mississippi","Quadrula cylindrica","Natserv"
"164","Ohio","Quadrula cylindrica","Natserv"
"165","Oklahoma","Quadrula cylindrica","Natserv"
"166","Pennsylvania","Quadrula cylindrica","Natserv"
"167","Tennessee","Quadrula cylindrica","Natserv"
"168","Alabama","Quadrula intermedia","Natserv"
"169","Tennessee","Quadrula intermedia","Natserv"
"170","Virginia","Quadrula intermedia","Natserv"
"171",NA,"Spizella wortheni",NA
"172","Alabama","Stygobromus smithii",NA
"173",NA,"Tridacna gigas",NA
"174","Tennessee","Villosa perpurpurea","ECOS"
"175","Virginia","Villosa perpurpurea","ECOS"
"176","Alabama","Villosa trabalis","ECOS"
"177","Kentucky","Villosa trabalis","ECOS"
"178","North Carolina","Villosa trabalis","ECOS"
"179","Tennessee","Villosa trabalis","ECOS"
"180","Virginia","Villosa trabalis","ECOS"
"181","Idaho","Acanthomyops latipes","nature serve"
"182","Indiana","Acanthomyops latipes","nature serve"
"183","Vermont","Acanthomyops latipes","nature serve"
"184","Wyoming","Acanthomyops latipes","nature serve"
"185","Hawaii","Achatinella cestus","iucn"
"186","Hawaii","Achatinella swiftii","iucn"
"187","?","Alopias vulpinus","iucn"
"188","Maine","Amanita ristichii","iucn"
"189","New Hampshire","Amanita ristichii","iucn"
"190",NA,"Anser erythropus","iucn"
"191","Hawaii","Asplenium dielfalcatum","iucn"
"192","Hawaii","Athyrium haleakalae",NA
"193",NA,"Aythya ferina",NA
"194","Colorado","Boloria acrocnema",NA
"195","Florida","Branchinella alachua",NA
"196",NA,"Calidris tenuirostris",NA
"197","?","Carcharhinus longimanus",NA
"198","Hawaii","Clermontia peleana",NA
"199","Texas","Cochliopa texana",NA
"200","Hawaii","Coprosma kawaikiniensis",NA
"201","Florida","Coryphopterus eidolon",NA
"202","Florida","Coryphopterus thrix",NA
"203","Hawaii","Cyanea asplenifolia",NA
"204","Hawaii","Cyanea crispa",NA
"205","Hawaii","Cyanea dunbariae",NA
"206","Hawaii","Cyanea gibsonii",NA
"207","Hawaii","Cyanea koolauensis",NA
"208","Hawaii","Cyanea macrostegia",NA
"209","California","Cyanea macrostegia",NA
"210","Nevada","Cyprinodon salinus",NA
"211","Florida","Dichocoenia stokesii",NA
"212","Hawaii","Dryopteris glabra",NA
"213","Texas","Echinocereus chisosensis",NA
"214","maryland","Elaphoidella amabilis",NA
"215",NA,"Emberiza aureola",NA
"216","Hawaii","Euphorbia celastroides",NA
"217","Hawaii","Euphorbia skottsbergii",NA
"218","Hawaii","Festuca aloha",NA
"219","Maine","Formica dirksi","antwiki"
"220","North Dakota","Formica talbotae","antwiki"
"221","Iowa","Formica talbotae","antwiki"
"222","Michigan","Formica talbotae","antwiki"
"223","Utah","Formicoxenus chamberlini","antwiki"
"224","California","Formicoxenus chamberlini","antwiki"
"225","Oregon","Formicoxenus chamberlini","antwiki"
"226","Maine","Formicoxenus provancheri","antwiki"
"227","massachusettes","Formicoxenus provancheri","antwiki"
"228","connecticut","Formicoxenus provancheri","antwiki"
"229","new york","Formicoxenus provancheri","antwiki"
"230","north dakota","Formicoxenus provancheri","antwiki"
"231","montana","Formicoxenus provancheri","antwiki"
"232","idaho","Formicoxenus provancheri","antwiki"
"233","utah","Formicoxenus provancheri","antwiki"
"234","colorado","Formicoxenus provancheri","antwiki"
"235","new mexico","Formicoxenus provancheri","antwiki"
"236","?","Galeorhinus galeus","iucn"
"237","Texas","Gambusia clarkhubbsi",NA
"238","washington","Grylloblatta chirurgica",NA
"239","?","Gymnura altavela",NA
"240",NA,"Haliaeetus pelagicus",NA
"241","maine","Harpagoxenus canadensis","antwiki"
"242","minnesota","Harpagoxenus canadensis","antwiki"
"243","michigan","Harpagoxenus canadensis","antwiki"
"244","ohio","Harpagoxenus canadensis","antwiki"
"245","colorado","Harpagoxenus canadensis","antwiki"
"246","California","Hesperodiaptomus californiensis","iucn"
"247","Texas","Hexalectris revoluta",NA
"248","New Mexico","Hexalectris revoluta",NA
"249","Hawaii","Holothuria whitmaei",NA
"250","?","Isurus oxyrinchus",NA
"251","hawaii","Kadua cordata",NA
"252","hawaii","Kadua laxiflora",NA
"253","California","Lepiota rhodophylla",NA
"254","Texas","Leptobasis melinogaster",NA
"255","michigan","Leptothorax minutissimus","antwiki"
"256","indiana","Leptothorax minutissimus","antwiki"
"257","ohio","Leptothorax minutissimus","antwiki"
"258","west virginia","Leptothorax minutissimus","antwiki"
"259","virginia","Leptothorax minutissimus","antwiki"
"260","new york","Leptothorax minutissimus","antwiki"
"261","north carolina","Leptothorax minutissimus","antwiki"
"262","maryland","Loxospora assateaguensis",NA
"263","?","Lutjanus cyanopterus",NA
"264","California","Manica parasitica","antwiki"
"265","Hawaii","Melicope oppenheimeri",NA
"266","California","Micrarionta gabbii",NA
"267","California","Monadenia setosa",NA
"268","Michigan","Monomorium talbotae","antwiki"
"269","Texas","Monomorium talbotae","antwiki"
"270","Hawaii","Montipora flabellata",NA
"271","texas","Myrmica colax","antwiki"
"272","?","Nematostella vectensis",NA
"273",NA,"Numenius madagascariensis",NA
"274","Missouri","Obovaria jacksoniana",NA
"275","tennessee","Obovaria jacksoniana",NA
"276","arkansas","Obovaria jacksoniana",NA
"277","oklahoma","Obovaria jacksoniana",NA
"278","texas","Obovaria jacksoniana",NA
"279","louisiana","Obovaria jacksoniana",NA
"280","alabama","Obovaria jacksoniana",NA
"281","mississippi","Obovaria jacksoniana",NA
"282","illinois","Orconectes bisectus",NA
"283","indiana","Orconectes bisectus",NA
"284","kentucky","Orconectes bisectus",NA
"285","Missouri","Orconectes eupunctus",NA
"286","arkansas","Orconectes eupunctus",NA
"287","mississippi","Orconectes hartfieldi",NA
"288","louisiana","Orconectes hathawayi",NA
"289","arkansas","Orconectes meeki",NA
"290","Missouri","Orconectes meeki",NA
"291","Missouri","Orconectes peruncus",NA
"292","arkansas","Orconectes peruncus",NA
"293","Missouri","Orconectes quadruncus",NA
"294","arkansas","Orconectes quadruncus",NA
"295","kentucky","Orconectes wrighti",NA
"296","tennessee","Orconectes wrighti",NA
"297","mississippi","Orconectes wrighti",NA
"298","alabama","Orconectes wrighti",NA
"299","alaska","Pardosa diuturna",NA
"300","Hawaii","Phyllostegia haliakalae",NA
"301","utah","Physella utahensis",NA
"302","texas","Pogonomyrmex anergismus","antwiki"
"303","new mexico","Pogonomyrmex anergismus","antwiki"
"304","arizona","Pogonomyrmex anergismus","antwiki"
"305","arizona","Pogonomyrmex colei","antwiki"
"306","Nevada","Pogonomyrmex colei","antwiki"
"307","California","Pogonomyrmex colei","antwiki"
"308","California","Pristoceuthophilus sp.",NA
"309","Hawaii","Pritchardia glabrata",NA
"310","Hawaii","Pritchardia napaliensis",NA
"311","Florida","Pseudomyrmex leptosus","antwiki"
"312","Hawaii","Pterodroma externa",NA
"313","California","Quercus macdonaldii",NA
"314","north carolina","Rinodina chrysomelaena",NA
"315","Hawaii","Sadleria wagneriana",NA
"316","north carolina","Sarracenia purpurea",NA
"317","south carolina","Sarracenia purpurea",NA
"318","georgia","Sarracenia purpurea",NA
"319","alabama","Sarracenia rubra",NA
"320","?","Sebastes fasciatus",NA
"321","?","Sebastolobus alascanus",NA
"322",NA,"Spheniscus humboldti",NA
"323","?","Synthliboramphus hypoleucus",NA
"324",NA,"Thalassarche chlororhynchos",NA
"325","maine","Tricholoma apium",NA
"326","new york","Tricholoma apium",NA
"327","New Hampshire","Tricholoma apium",NA
"328","massachusetts","Tricholoma apium",NA
"329","rhode island","Tricholoma apium",NA
"330","connecticut","Tricholoma apium",NA
"331","new jersey","Tricholoma apium",NA
"332","pennsylvania","Tricholoma apium",NA
"333","vermont","Tricholoma apium",NA
"334","ohio","Tricholoma apium",NA
"335","michigan","Tricholoma apium",NA
"336","washington","Tricholoma apium",NA
"337","oregon","Tricholoma apium",NA
"338","Hawaii","Actinopyga mauritiana","IUCN"
"339","Hawaii","Aetobatus ocellatus","IUCN"
"340","Hawaii","Albula glossodonta","IUCN"
"341","Maine","Amanita morrisii","IUCN"
"342","New Jersey","Amanita morrisii","IUCN"
"343","Massachusetts","Amanita morrisii","IUCN"
"344","New Hampshire","Amanita morrisii","IUCN"
"345","New York","Amanita morrisii","IUCN"
"346","Florida","Amorpha crenulata","IUCN"
"347","California","Apostichopus parvimensis","IUCN"
"348","Hawaii","Asplenium dielerectum",NA
"349","Hawaii","Asplenium dielmannii",NA
"350","Hawaii","Asplenium unisorum",NA
"351","?","Balaenoptera edeni","IUCN"
"352","?","Balistes capriscus",NA
"353","Oregon","Batrachoseps wrighti",NA
"354","?","Carcharhinus brevipinna",NA
"355","Florida","Consolea corallicola",NA
"356","Florida","Conus anabathrum",NA
"357","Florida","Coryphopterus personatus",NA
"358","Hawaii","Cosmocampus balli",NA
"359","California","Cupressus guadalupensis",NA
"360","Hawaii","Cyanea humboldtiana",NA
"361","Hawaii","Cyanea longiflora",NA
"362","Hawaii","Cyanea rivularis",NA
"363","Tennesee","Cyprinella monacha",NA
"364","Alabama","Cyprinella monacha",NA
"365","North Carolina","Cyprinella monacha",NA
"366","Virginia","Cyprinella monacha",NA
